ID;Author;Country;Title;Url;;;
220;"*Codrington, R. H.	";;The Melanesians: studies in their Anthropology and Folklore. Oxford, 1891.;https://archive.org/details/melanesiansstudi00codruoft;;;
221;;;;;;;
222;"Cole, Fay Cooper.	";;Traditions of the Tinguian. FM XIV. Chicago, 1915.;https://archive.org/details/traditionsofting141cole;;;
223;;;;;;;
224;"*Conzemius, E.		";;Ethnographical survey of the Miskito and Sumu Indians of Honduras and Nicaragua. BBAE CVI, 1932.;;;;
225;;;;;;;
226;"Cook, A. B.		";;Zeus: a study in ancient religion. 3 vols. Cambridge, 1914 ff.;https://archive.org/details/p2zeusstudyinanc02cookuoft;;;
227;;;;;;;
228;"Corpus Poeticum Boreale	(edited by G. Vigf£sson and F. Y. Powell). 2 vols. Oxford, 1883.";;;;;;
229;;;;;;;
230;"*Cosquin, E.		";F;Contes populaires de Lorraine. 2 vols. Paris, 1887.;https://archive.org/details/contespopulaires00cosq;;;
231;"				*Etudes folkloriques. Paris, 1922.";F;;;;;
232;"				*Les contes indiens et l'occident. Paris, 1922.";F;;;;;
233;;;;;;;
234;"Coster-Wijsman, L. N.	";;Uilespiegel-Verhalen in Indonesiâ. Santpoort, 1929.;;;;
235;;;;;;;
236;"*Cowell, E. B.	and others.	";;The Jataka or Stories of the Buddha's Former Births. 6 vols. and index. Cambridge, 1895--1913.;https://archive.org/details/jatakaorstoriesofb01cowe;;;
237;;;;;;;
238;"*Cox, Marian R.	";;Cinderella (PFLS XXXI). London, 1893.;https://archive.org/details/cinderellathreeh00coxmuoft;;;
239;;;;;;;
240;"*Coyajee, J. C.	";;Some Shahnameh Legends and their Chinese Parallels. JPASB XXIV (1928).;;;;
241;;;;;;;
242;"*Crane, T. F.		";;Liber de Miraculis Sanctae Dei Genetricis Mariae. Ithaca (N.Y.) and London, 1926.;;;;
243;;;;;;;
244;*The Exempla of Jacques de Vitry (PFLS XXVI). London, 1890.;;;https://archive.org/details/theexempla00vitruoft;;;
245;;;;;;;
246;"Crawley, Ernest.	";;The Mystic Rose. London, 1902.;https://archive.org/details/mysticrosestudyo00crawuoft;;;
247;;;;;;;
248;"?Cross			";; = Tom Peete Cross. Motif-Index of Early Irish Literature. Bloomington, Indiana, 1952.;;;;
249;;;;;;;
250;"CU				= Columbia University Contributions to Anthropology.";;;;;;
251;;;;;;;
252;"*Curtin, Jeremiah.	";;Seneca Indian Myths. Boston, 1923.;http://folkmasa.org/yashpeh/mb_bookp.php?mishtane=60 , https://archive.org/details/senecalegendymyth00curtrich ;;;
253;;;;;;;
254;"*Cushing, Frank H.	";;Zu§i Folk Tales. New York and London, 1901.;https://archive.org/details/zuifolktales00cushrich;;;
255;;;;;;;
256;;;;;;;
257;"*Dania.			";;10 vols. Kobenhavn, 1890--1903.;;;;
258;;;;;;;
259;"*Danske Studier.	";;Kobenhavn, 1904 ff.;;;;
260;;;;;;;
261;"*Davenport, William	";;Marshallese Folklore Types (JAFL LXVI 219--237).;;;;
262;;;;;;;
263;"Dawkins, Richard M.	";;Forty-five Stories from the Dodekanese. Cambridge (England), 1950.;;;;
264;;;;;;;
265;Modern Greek Folktales. Oxford, 1953.;;;;;;
266;;;;;;;
267;"Day, Lal Behary.	";;Folk-Tales of Bengal. London, 1912.;https://archive.org/details/folktalesofbenga00dayluoft;;;
268;;;;;;;
269;"*De Cock, Alfons.	";;Studien en Essays over oude Volksvertelsels. Antwerp, 1919.;;;;
270;"				*Volkssage, Volksgeloof en Volksgebruik. Antwerp, 1918.";;;;;;
271;"				*Volksgeneeskunde in Vlaanderen. Gent, 1891.";;;;;;
272;;;;;;;
273;"De la Saussaye. 	See Saussaye.";F;The religion of Teuton, Vos, Bert John, 1867;https://archive.org/details/religionofteuton00chan;;;
274;;;;;;;
275;"Dennett, R. E.		";;The Folk-lore of the Fjort (French Congo) (PFLS XLI). London, 1898.;https://archive.org/details/cu31924006487999 , http://folkmasa.org/yashpeh/mb_bookp.php?mishtane=42;;;
276;;;;;;;
277;"Desparmet, J.		";F;Contes populaires sur les ogres, recueillis Ö Blida. 2 vols. Paris, 1909--10.;;;;
278;;;;;;;
279;"Deutschbein, M.	Studien zur Sagengeschichte Englands. Gîthen, 1906.";;;;;;
280;;;;;;;
281;"De Vries, Jan.		";;De Sage van het ingemetselde Kind. Nederlandsch Tijdschrift voor Volkskunde XXXII (1927) 1--13.;;;;
282;"De Vries, Jan.		";;StudiÎn over Faerˆsche Balladen. Haarlem, 1915.;;;;
283;"De Vries, Jan.		";;"				*Volksverhalen uit Oost Indiâ. 2 vols. Leiden, 1925, 1928.";;;;
284;;;;;;;
285;"*De Vries's list	";;"= De Vries, Jan. ""Typen-Register der Indonesische Fabels en Sprookjes"" (Volksverhalen uit Oost-Indiâ II 398 ff.)";;;;
286;;;;;;;
287;"DF				= Danmarks Folkeminder. Kobenhavn, 1908--";;;;;;
288;;;;;;;
289;*Dh†ó D‰hnhardt, Oskar. Natursagen. 4 vols. Leipzig, 1909ó12.;;;;;;
290;;;;;;;
291;"*Dickson, Arthur.	";;Valentine and Orson, a study in late Medieval Romance. New York, 1929.;;;;
292;;;;;;;
293;"Dieterich, Albrecht	";;Mutter Erde: ein Versuch Åber Volksreligion. 2d ed. Berlin, 1913.;;;;
294;;;;;;;
295;"*Dixon, Roland B.	";;Oceanic Mythology (The Mythology of all Races IX). Boston, 1916.;http://archive.org/stream/mythologyofall09gray#page/n7/mode/2up;;;
