15414;Le sorcier aux trois ceintures;;;2;329;;0;;0;;0;;0;;0;;0;;0;;52;3
15415;Le Dragon dor�;;;2;401;;0;;0;;0;;0;;0;;0;;0;;53;3
15416;Les six fr�res paresseux;;;2;653;;0;;0;;0;;0;;0;;0;;0;;54;3
15417;La cane rouge;;;2;401;;0;;0;;0;;0;;0;;0;;0;;55;3
15418;La Belle Jeanneton;;;2;0;;0;;0;;0;;0;;0;;0;;0;;56;3
15419;Le li�vre argent�;;;2;552;;0;;0;;0;;0;;0;;0;;0;;57;3
15420;La rebette;;;2;221;;0;;0;;0;;0;;0;;0;;0;;15 bis;3
15421;Le rat et la rate;;;2;2019;;0;;0;;0;;0;;0;;0;;0;;16 bis;3
15422;La rave;;;2;2015;;0;;0;;0;;0;;0;;0;;0;;17 bis;3
15423;Ricabert-Ricabon;;;2;500;;0;;0;;0;;0;;0;;0;;0;;47 bis;3
15424;Le sabotier et le diable;;;2;812;;0;;0;;0;;0;;0;;0;;0;;47 ter;3
15425;Le Roi des Corbeaux;;;2;425;;0;;0;;0;;0;;0;;0;;0;;58;3
15426;Jean de l'Ours;;;2;301;B;0;;0;;0;;0;;0;;0;;0;;59;3
15427;La biche enchant�e;;;2;400;;0;;0;;0;;0;;0;;0;;0;;60;3
15428;La Belle endormie;;;2;425;;0;;0;;0;;0;;0;;0;;0;;61;3
15429;La fernme du loup gris;;;2;0;;0;;0;;0;;0;;0;;0;;0;;62;3
15430;Le Tartaro;;;2;502;;300;;314;;0;;0;;0;;0;;0;;63;3
15431;L'Eau qui danse, la Pomme qui chante et l'Oiseau de v�rit�;;;2;707;;0;;0;;0;;0;;0;;0;;0;;64;3
15432;Le Prince des sept vaches d'or;;;2;0;;0;;0;;0;;0;;0;;0;;0;;65;3
15433;Le valet fid�le;;;2;516;;0;;0;;0;;0;;0;;0;;0;;66;3
15434;La gardeuse de dindons;;;2;510;;923;;0;;0;;0;;0;;0;;0;;67;3
15435;La fille du Roi de la vall�e maudite;;;2;313;;0;;0;;0;;0;;0;;0;;0;;68;3
15436;La Ram�e et les princesses de la nuit;;;2;306;;0;;0;;0;;0;;0;;0;;0;;69;3
15437;Le Pou;;;2;0;;0;;0;;0;;0;;0;;0;;0;;70;3
15438;La princesse Tro-H�ol;;;2;401;;0;;0;;0;;0;;0;;0;;0;;71;3
15439;Le Drac;;;2;403;;0;;0;;0;;0;;0;;0;;0;;72;3
15440;Le ch�teau b�ti tout en os;;;2;0;;0;;0;;0;;0;;0;;0;;0;;73;3
15441;Les sept paires de souliers de fer et les trois baguettes de bois;;;2;0;;0;;0;;0;;0;;0;;0;;0;;74;3
15442;Le magicien Barbauvert;;;2;0;;0;;0;;0;;0;;0;;0;;0;;75;3
15443;Les deux jumeaux;;;2;303;;0;;0;;0;;0;;0;;0;;0;;76;3
15444;Le pigeon blanc;;;2;720;;0;;0;;0;;0;;0;;0;;0;;77;3
15445;L'Homme de toutes couleurs;;;2;301;;314;;0;;0;;0;;0;;0;;0;;78;3
15446;Yannik aux deux sous;;;2;0;;0;;0;;0;;0;;0;;0;;0;;79;3
15447;Pieds-d'or;;;2;-1;;0;;0;;0;;0;;0;;0;;0;;80;3
15448;Les quatorze juments;;;2;531;;0;;0;;0;;0;;0;;0;;0;;81;3
15449;L'oiseau Dr�daine et la princesse du ch�teau d'or;;;2;550;;551;;0;;0;;0;;0;;0;;0;;82;3
15450;La Fleur;;;2;0;;0;;0;;0;;0;;0;;0;;0;;83;3
15451;La princesse Blondine;;;2;313;;531;;0;;0;;0;;0;;0;;0;;84;3
15452;La princesse devineresse;;;2;851;;0;;0;;0;;0;;0;;0;;0;;85;3
15453;La Grand' B�te � t�te d'homme;;;2;0;;0;;0;;0;;0;;0;;0;;0;;86;3
15454;Robardik et la b�te � sept t�tes;;;2;0;;0;;0;;0;;0;;0;;0;;0;;87;3
15455;L'homme voil�;;;2;0;;0;;0;;0;;0;;0;;0;;0;;88;3
15456;La plume merveilleuse;;;2;0;;0;;0;;0;;0;;0;;0;;0;;89;3
15457;Les finesses de Bilz;;;2;1525;;0;;0;;0;;0;;0;;0;;0;;90;3
15458;Peronnik;;;2;0;;0;;0;;0;;0;;0;;0;;0;;91;3
15459;Le Roi-Grenouille ou Henri-Ie-Ferr�;;;3;440;;0;;0;;0;;0;;0;;0;;0;;1, t1-p11;4
15460;Chat et souris associ�s;;;3;0;;0;;0;;0;;0;;0;;0;;0;;t1-p16;4
15461;L'Enfant de marie;;;3;710;;0;;0;;0;;0;;0;;0;;0;;3, t1-p19;4
15462;Histoire d'un qui s'en alla pour apprendre le tremblement;;;3;326;;0;;0;;0;;0;;0;;0;;0;;4, t1-p25;4
15463;Le loup et les sept chevreaux;;;3;123;;0;;0;;0;;0;;0;;0;;0;;t1-p37;4
15464;Jean-le-Fid�le;;;3;516;;0;;0;;0;;0;;0;;0;;0;;6, t1-p41;4
15465;La bonne affaire;;;3;0;;0;;0;;0;;0;;0;;0;;0;;t1-p51;4
15466;Le merveilleux m�n�trier;;;3;0;;0;;0;;0;;0;;0;;0;;0;;t1-p57;4
15467;Les douze fr�res;;;3;450;;451;;403;;0;;0;;0;;0;;0;;9, t1-p61;4
15468;De la racaille;;;3;0;;0;;0;;0;;0;;0;;0;;0;;t1-p68;4
